2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:15, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:16, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:17, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:17, DISTANCE = inf, DESIRED VELOCITY = 25.00
